taxa_name,end_date,latitude,longitude,year,date,precip_mm,precip_mm_raw,zscore,outlier,negative_precip,missing_date
A_berkeleyi,8/26/1849,27.0416,88.2664,2001,2001-07-29,145.8,145.8,4.6429304084027425,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2002,2002-07-27,192.3,192.3,6.378691980185802,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2003,2003-08-18,182.5,182.5,6.012875562906792,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2006,2006-08-26,104.4,104.4,3.0975426864281483,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2009,2009-07-27,135.1,135.1,4.2435186058634145,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2009,2009-08-20,102.0,102.0,3.0079549924006352,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2010,2010-08-21,110.2,110.2,3.3140462803279704,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2011,2011-08-17,294.7,294.7,10.201100258693009,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2017,2017-08-10,104.0,104.0,3.0826114040902293,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2017,2017-08-11,139.9,139.9,4.422693993918441,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2017,2017-08-12,123.2,123.2,3.799312956310331,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2017,2017-08-13,138.4,138.4,4.366701685151245,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2018,2018-08-24,134.0,134.0,4.202457579434138,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2020,2020-08-09,120.8,120.8,3.7097252622828183,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2020,2020-08-12,118.5,118.5,3.6238703888397854,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2021,2021-08-26,163.3,163.3,5.29617401068669,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2023,2023-08-13,104.5,104.5,3.1012755070126277,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2023,2023-08-24,128.8,128.8,4.008350909041194,True,False,False
A_berkeleyi,8/26/1849,27.0416,88.2664,2023,2023-08-25,152.5,152.5,4.8930293875628825,True,False,False
A_silvicola,10/28/1935,47.9504,-124.3855,2003,2003-10-16,126.0,126.0,8.569111511840545,True,False,False
A_silvicola,10/28/1935,47.9504,-124.3855,2024,2024-10-19,124.2,124.2,8.438878022833585,True,False,False
A_californica,2/17/1940,34.4203,-119.6989,2017,2017-02-17,112.6,112.6,11.186819260297053,True,False,False
A_ochrophylla,3/22/1952,-27.4705,153.026,2012,2012-03-05,140.7,140.7,9.63429190159656,True,False,False
A_ochrophylla,3/22/1952,-27.4705,153.026,2018,2018-02-23,123.5,123.5,8.416963004978816,True,False,False
A_ochrophylla,3/22/1952,-27.4705,153.026,2021,2021-03-22,119.8,119.8,8.155095742334302,True,False,False
A_ochrophylla,3/22/1952,-27.4705,153.026,2022,2022-02-26,166.5,166.5,11.460285246523174,True,False,False
A_ochrophylla,3/22/1952,-27.4705,153.026,2022,2022-02-27,113.0,113.0,7.673826178555195,True,False,False
A_rhopalopus,10/1/1955,35.9653,-83.9233,2011,2011-09-05,103.2,103.2,11.349604459439034,True,False,False
A_timida,6/23/1960,1.3448,103.8224,2020,2020-06-13,142.9,142.9,14.465280765176836,True,False,False
A_bubalina,3/3/1962,-26.8083,-65.2176,2020,2020-02-08,121.1,121.1,9.446757746231919,True,False,False
A_lutescens,7/12/1963,35.0178,135.8552,2018,2018-07-06,109.7,109.7,6.705480175029125,True,False,False
A_lutescens,7/12/1963,35.0178,135.8552,2022,2022-06-21,103.6,103.6,6.301470719375631,True,False,False
A_crassiconus,8/15/1963,10.40212,5.471575,2001,2001-07-29,103.8,103.8,7.729012753202859,True,False,False
A_crassiconus,8/15/1963,10.40212,5.471575,2001,2001-08-04,102.4,102.4,7.61553935934087,True,False,False
A_crassiconus,8/15/1963,10.40212,5.471575,2015,2015-07-20,156.7,156.7,12.016685992702337,True,False,False
A_crassiconus,8/15/1963,10.40212,5.471575,2015,2015-08-09,103.1,103.1,7.672276056271864,True,False,False
