taxa_name,count,mean,std,max,min,total,zero_days
A_abrupta,775,2.959901935483871,7.083014929874914,37.477999999999994,0.0,2293.924,463
A_aliena,775,4.122369032258065,9.394726647896881,49.441999999999986,0.0,3194.836,439
A_alliacea,775,3.6586683870967738,6.765434969599168,41.14599999999998,0.0,2835.468,227
A_alpinicola,775,2.5167174193548387,2.981422236854742,12.981999999999994,0.0,1950.456,146
A_amanitoides,775,4.67842064516129,4.979021128082151,26.57199999999998,0.0,3625.776,47
A_ameghinoi,757,3.457294583883751,8.393371460894947,44.48399999999994,0.0,2617.1719999999996,432
A_ananaeceps,782,1.3187519181585674,3.391370560927602,19.73299999999996,0.0,1031.2639999999997,457
A_areolata,775,7.3532180645161285,13.77803656397854,71.56799999999998,0.0,5698.744,230
A_atkinsoniana,775,3.8601393548387097,7.812196390623535,41.126,0.0,2991.608,340
A_augusta,775,2.674652903225806,6.407349973808341,33.081999999999994,0.0,2072.8559999999998,518
A_aureofloccosa,775,4.504732903225806,4.771203994295582,24.44599999999998,0.0,3491.1679999999997,54
A_austroviridis,775,1.7768103225806449,3.879374347369053,23.115999999999985,0.0,1377.0279999999998,349
A_baccata,775,2.380294193548387,5.370748351625758,29.215999999999987,0.0,1844.7279999999998,342
A_basiorubra,775,1.9933109677419356,3.8539033798287243,22.152,0.0,1544.816,338
A_berkeleyi,775,21.00820129032258,24.1264107108556,135.95799999999997,0.874,16281.356,0
A_boliviana,775,8.29698064516129,8.032599128106346,41.01999999999998,0.0,6430.16,19
A_borneensis,775,9.751427096774194,7.931500557106358,36.30799999999999,0.07400000000000002,7557.356,0
A_brunneiphylla,775,2.7551070967741937,5.979972031395079,29.526,0.0,2135.208,456
A_bubalina,782,6.04125831202046,10.844907249816996,57.63299999999996,0.0,4724.264,265
A_californica,775,2.5418064516129033,7.942778680450878,49.6,0.0,1969.9,589
A_carneiphylla,775,2.7551070967741937,5.979972031395079,29.526,0.0,2135.208,456
A_centunculus,775,5.006033548387097,5.065544558925489,25.97199999999998,0.0,3879.676,44
A_chatamagotake,775,8.155618064516128,13.534245424592758,67.4379999999999,0.0,6320.603999999999,185
A_chlorinosma,775,3.5076490322580645,6.167142732989532,34.015999999999984,0.0,2718.428,237
A_cinereoconia,775,2.530601290322581,4.413729620460526,21.152,0.0,1961.2160000000001,258
A_cinereopannosa,775,3.8601393548387097,7.812196390623535,41.126,0.0,2991.608,340
A_cingulata,775,6.85933935483871,12.931748457883456,68.08599999999998,0.0,5315.988,265
A_coacta,775,5.334203870967742,6.690988572494053,31.026,0.0,4134.008,127
A_codinae,775,2.80064,6.966132099456632,38.51199999999999,0.0,2170.496,414
A_cokeri,775,3.537414193548387,6.239908306368874,32.21199999999999,0.0,2741.496,256
A_concentrica,775,5.717532903225806,11.703161862725661,66.48599999999999,0.0,4431.088,253
A_conicobulbosa,775,0.9458167741935485,2.441031823700328,14.426,0.0,733.008,477
A_crassa,775,0.5321909677419354,1.9199119770603839,13.055999999999996,0.0,412.448,615
A_crassiconus,775,8.053042580645162,9.47501300740176,61.126,0.0,6241.108,17
A_crassifolia,775,3.5218993548387094,9.329631683737494,54.934,0.0,2729.4719999999998,419
A_daucipes,775,2.657316129032258,4.917852414834498,24.489999999999988,0.0,2059.42,344
A_djarilmari,775,0.8522012903225805,3.156476696844827,21.481999999999996,0.0,660.4559999999999,574
A_eriophora,782,6.485130434782608,6.678556521788156,33.70899999999993,0.0,5071.371999999999,53
A_flaviphylla,775,2.5312567741935483,4.466483206330392,22.577999999999996,0.0,1961.724,332
A_foetens,775,5.473424516129032,9.818253040595646,49.237999999999985,0.0,4241.9039999999995,294
A_gracilior,775,2.710446451612903,7.537877529211036,43.71199999999999,0.0,2100.596,473
A_grallipes,757,5.687788639365918,6.731943879720926,32.43199999999998,0.0,4305.656,90
A_griseibrunnea,775,2.7551070967741937,5.979972031395079,29.526,0.0,2135.208,456
A_griseofarinosa,775,6.932877419354838,12.098341819633637,61.15999999999999,0.0,5372.98,196
A_griseoverrucosa,775,10.396263225806452,14.67218514619463,72.238,0.0,8057.104,155
A_gymnopus,775,8.075612903225807,6.374755311093838,28.0,0.0,6258.6,15
A_heishidingensis,775,2.099638709677419,4.559554340789601,26.089999999999986,0.0,1627.2199999999998,372
A_hesleri,775,3.041961290322581,5.657475014399204,29.989999999999988,0.0,2357.52,290
A_ibotengutake,775,10.080330322580645,19.184265245430293,106.48199999999999,0.0,7812.256,182
A_inodora,775,4.871855483870968,7.217039133182607,35.78599999999999,0.0,3775.688,155
A_japonica,775,4.6406967741935485,9.459678446424274,55.83,0.0,3596.54,228
A_javanica,757,5.657225891677674,6.81804190869686,33.93999999999994,0.0,4282.5199999999995,77
A_kalamundae,775,2.6572129032258065,5.9598905245342175,30.729999999999997,0.0,2059.34,462
A_kitamagotake,775,7.51901935483871,14.297251902270908,74.97999999999998,0.0,5827.24,276
A_lanosa,775,4.098529032258064,4.568998375341341,20.41999999999998,0.0,3176.3599999999997,89
A_lanosula,775,4.098529032258064,4.568998375341341,20.41999999999998,0.0,3176.3599999999997,89
A_lesueurii,775,1.4445677419354839,3.989038894916873,24.229999999999997,0.0,1119.54,533
A_lilloi,775,2.53648,6.2248170780840795,37.833999999999996,0.0,1965.772,451
A_lippiae,775,1.3608877419354835,3.4450106222826418,24.635999999999967,0.0,1054.6879999999996,319
A_longipes,775,3.2831070967741933,7.004438150654545,39.126,0.0,2544.408,359
A_luteivolvata,775,1.7594374193548385,3.881079158563002,21.90799999999999,0.0,1363.5639999999999,384
